name,lat,lon,city,country
Estación de tren Castellnou de Seana,41.637464,0.967736,Castellnou de Seana,España
Estación de tren Golmes,41.635929,0.930863,Golmés,España
Estación de tren Mollerussa,41.631779,0.896775,Mollerussa,España
Estación de tren Bell-Lloc Durgell,41.631619,0.781547,Bell-lloc d'Urgell,España
Estación de tren Canfranc,42.751471,-0.514641,Canfranc,España
Estación de tren Villanua-Letranz,42.688745,-0.52346,Villanúa,España
Estación de tren Castiello-Pueblo,42.62811,-0.546291,Castiello De Jaca,España
Estación de tren Jaca,42.578303,-0.539231,Jaca,España
Estación de tren Sabinyanigo,42.520446,-0.373085,Sabiñánigo,España
Estación de tren Villanueva de Gallego,41.76551,-0.822204,Villanueva de Gállego,España
Estación de tren Caldearenas-Aquilue,42.397973,-0.499309,Caldearenas,España
Estación de tren Santa Maria Y La Penya,42.38039,-0.695647,Las Peñas de Riglos,España
Estación de tren Ayerbe,42.27561,-0.682569,Ayerbe,España
Estación de tren Granollers Centre,41.594528,2.29107,Granollers,España
Estación de tren Gualba,41.714078,2.533778,Riells,España
Estación de tren Hostalric,41.747657,2.632175,Hostalric,España
Estación de tren Riudellots,41.896232,2.811599,Riudellots de la Selva,España
Estación de tren Fornells de La Selva,41.935157,2.809732,Fornells de la Selva,España
Estación de tren Celra,42.02723,2.874969,Celrà,España
Estación de tren Bordils-Juia,42.037068,2.915255,Juià,España
Estación de tren Sant Jordi Desvalls,42.068319,2.964533,Sant Jordi Desvalls,España
Estación de tren Camallera,42.122359,2.965448,"Saus, Camallera i Llampaies",España
Estación de tren Sant Miquel de Fluvia,42.172087,2.989663,Sant Miquel de Fluvià,España
